psql "$DATABASE_URL" << 'EOF'
INSERT INTO food_nutrition (food_name, calories, protein_g, carbs_g, fats_g) VALUES
('Paneer sandwich', 240, 10.0, 29.0, 9.5),
('Bombay sandwich', 230, 7.5, 34.0, 8.0),
('White sauce pasta', 280, 9.0, 42.0, 9.0),
('Red sauce pasta', 260, 8.0, 44.0, 7.0),
('Mac and cheese', 310, 11.0, 38.0, 13.0),
('Garlic bread', 180, 4.5, 24.0, 8.0),
('Tomato soup', 60, 1.5, 12.0, 1.5),
('Sweet corn soup', 85, 2.5, 16.0, 2.0),
('Lentil soup', 95, 6.0, 15.0, 1.5),
('Mushroom soup', 75, 2.8, 10.0, 2.5),
('Green salad', 25, 1.5, 5.0, 0.3),
('Sprout salad', 80, 6.0, 12.0, 1.0),
('Fruit salad', 90, 1.0, 22.0, 0.5),
('Coconut chutney', 50, 1.0, 4.0, 4.0),
('Mint chutney', 15, 0.5, 3.0, 0.2),
('Tamarind chutney', 45, 0.3, 11.0, 0.1),
('Raita (plain)', 55, 2.5, 5.0, 2.5),
('Boondi raita', 70, 3.0, 8.0, 3.0),
('Cucumber raita', 50, 2.8, 6.0, 2.0),
('Papad (roasted)', 50, 2.0, 8.0, 1.5),
('Papad (fried)', 80, 2.0, 8.0, 5.0);
SELECT COUNT(*) as total FROM food_nutrition;
EOF
